City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,San Vicente,AR,76.1,moderate rain,-26.6167,-54.1333,Complejo Turístico Farelluk
3,Vaini,TO,75.2,few clouds,-21.2,-175.2,Keleti Beach Resort
5,Rikitea,PF,77.94,light rain,-23.1203,-134.9692,Pension Maro'i
10,Saint-Philippe,RE,75.2,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
29,Warri,NG,79.9,broken clouds,5.5167,5.75,BON Hotel Delta
30,Butaritari,KI,82.22,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
31,Puerto Ayora,EC,80.01,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
32,Brazzaville,CG,75.2,light rain,-4.2658,15.2832,Hotel Murex
33,Honavar,IN,81.97,scattered clouds,14.2833,74.45,Hotel Sagar Residency
38,Nioro,GM,84.83,overcast clouds,13.35,-15.75,
40,Mawlaik,MM,78.37,overcast clouds,23.6333,94.4167,AKZ Guest House
42,Lorengau,PG,80.56,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
43,Akyab,MM,80.96,overcast clouds,20.15,92.9,Hotel Memory
48,Arraial Do Cabo,BR,80.6,few clouds,-22.9661,-42.0278,Pousada Porto Praia
51,Maudaha,IN,88.25,clear sky,25.6833,80.1167,Chaudhary's home
55,Avarua,CK,80.6,broken clouds,-21.2078,-159.775,Paradise Inn
62,Bathsheba,BB,84.2,broken clouds,13.2167,-59.5167,Atlantis Hotel
63,Vaitape,PF,82.2,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
68,Port-Gentil,GA,82.4,few clouds,-0.7193,8.7815,Fengshui Residence
69,Olinda,BR,75.2,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
74,Georgetown,MY,80.6,few clouds,5.4112,100.3354,Cititel Penang
79,General Pico,AR,77.9,clear sky,-35.6566,-63.7568,Hotel Malargue
87,Sola,VU,78.8,few clouds,-13.8833,167.55,Leumerus Bungalows
88,Muncar,ID,75.07,broken clouds,-8.4333,114.3333,Zaky Homestay
89,Prado,BR,77.34,broken clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
90,Kapaa,US,77.0,scattered clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
93,Mahebourg,MU,77.0,moderate rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
94,Mar Del Plata,AR,75.2,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
95,Atuona,PF,81.16,scattered clouds,-9.8,-139.0333,Villa Enata
98,Maturin,VE,87.3,overcast clouds,9.75,-63.1767,Hotel Residencial La Pichincha
99,Tahta,EG,77.0,clear sky,26.7693,31.5021,El Salam Hotel
105,Port Blair,IN,82.24,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
118,Inirida,CO,81.39,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
121,Touros,BR,84.2,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
125,Beihai,CN,76.46,broken clouds,21.4833,109.1,21 Degree Hostel
129,Sao Joao Da Barra,BR,78.8,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
136,Namibe,AO,80.44,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
137,Sinnamary,GF,80.01,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
139,Sabang,ID,83.46,broken clouds,5.8933,95.3214,Hotel Citra
140,Lamu,KE,81.05,overcast clouds,-2.2717,40.902,Lamu House
142,Nalut,LY,82.26,scattered clouds,30.3333,10.85,
143,Souillac,MU,77.0,moderate rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
148,Hithadhoo,MV,82.36,broken clouds,-0.6,73.0833,Scoop Guest House
149,Honiara,SB,77.38,clear sky,-9.4333,159.95,Heritage Park Hotel
150,Faanui,PF,82.2,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
151,Mana,GF,81.41,broken clouds,5.6592,-53.7767,LE SAMANA
154,Vilhena,BR,78.8,heavy intensity rain,-12.7406,-60.1458,Hotel Mirage
157,Tucson,US,79.0,few clouds,32.2217,-110.9265,DoubleTree by Hilton Hotel Tucson - Reid Park
159,Salalah,OM,80.6,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
162,Guasdualito,VE,88.93,overcast clouds,7.2424,-70.7324,Hotel Cuibas
164,Manicore,BR,83.84,overcast clouds,-5.8092,-61.3003,Hotel Durval
165,Antalaha,MG,75.38,light rain,-14.9003,50.2788,Hotel Vitasoa
166,Piacabucu,BR,78.48,light rain,-10.4056,-36.4344,Piaçabuçu News
170,Acarau,BR,81.52,moderate rain,-2.8856,-40.12,castelo pizzaria
174,Lamont,US,75.99,clear sky,35.2597,-118.9143,Buena Vista Mobile Home Park
177,The Valley,AI,84.2,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
178,Hobyo,SO,82.45,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
184,Vila Velha,BR,82.0,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
185,Bandarbeyla,SO,80.8,scattered clouds,9.4942,50.8122,JABIR HOTEL
186,Marawi,PH,75.99,light rain,7.9986,124.2928,Derogongan Residence
188,Montanha,BR,75.56,overcast clouds,-18.1269,-40.3633,Hotel Boldrini
190,Cabo San Lucas,MX,84.0,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
191,Mecca,SA,82.51,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
201,Bambous Virieux,MU,78.01,moderate rain,-20.3428,57.7575,Casa Tia Villa
204,Meulaboh,ID,78.96,light rain,4.1363,96.1285,Kost Pria
206,Ixtapa,MX,80.6,clear sky,20.7,-105.2,Hotel Plaza Providencia
209,Kavieng,PG,80.06,light rain,-2.5744,150.7967,Nusa Island Retreat
215,Anloga,GH,84.2,few clouds,5.7947,0.8973,Pin Drop Hotel
216,Tan An,VN,82.4,scattered clouds,10.5333,106.4167,Khách Sạn Quỳnh Anh
221,Santa Luzia,BR,78.8,few clouds,-19.7697,-43.8514,Pousada Chao Earth
222,Caravelas,BR,77.63,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
234,Eldorado,BR,79.65,clear sky,-23.7869,-54.2836,Villa Verde Hotel
242,Samarai,PG,79.81,overcast clouds,-10.6167,150.6667,Nuli Sapi
244,Badiraguato,MX,86.0,scattered clouds,25.3667,-107.5167,"Hotel ""Real Del Campo"""
245,Sibolga,ID,75.99,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
247,Road Town,VG,82.4,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
248,Pak Phanang,TH,80.64,broken clouds,8.3511,100.20200000000001,Green Park Inn Hotel
249,Moron,AR,78.8,scattered clouds,-34.6534,-58.6198,Hotel Morón
253,Kilindoni,TZ,79.97,light rain,-7.9139,39.6668,Bustani B&B
254,San Martin,AR,82.4,clear sky,-33.080999999999996,-68.4681,Club El Pelícano
259,Kavaratti,IN,83.95,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
261,Gwadar,PK,81.14,broken clouds,25.1216,62.3254,Sadaf Resort
263,Najran,SA,84.2,dust,17.4924,44.1277,محمد هادي ال فطيح
264,Vanimo,PG,76.6,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
271,Luba,GQ,80.6,few clouds,3.4568,8.5547,
273,Topolobampo,MX,90.0,scattered clouds,25.6,-109.05,Hotel Marina Topolobampo
274,San Patricio,US,75.2,mist,28.017,-97.5169,"Motel 6 Sinton, TX"
275,Puerto Leguizamo,CO,83.86,light rain,-0.1934,-74.7819,la casona de juancho
278,Lumut,MY,77.0,few clouds,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
279,Saint-Georges,GD,86.0,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
283,Buchanan,LR,82.4,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
284,Saint-Pierre,RE,75.2,clear sky,-21.3393,55.4781,Lindsey Hôtel
285,Hong Gai,VN,77.0,light rain,20.956,107.0946,Hạ Long DC Hotel
287,Awjilah,LY,76.69,overcast clouds,29.1081,21.2869,
288,Fomboni,KM,82.71,few clouds,-12.28,43.7425,Relais Singani
289,Port Moresby,PG,75.2,broken clouds,-9.4431,147.1797,Lamana Hotel
292,General Roca,AR,77.0,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
299,Durban,ZA,75.0,broken clouds,-29.8579,31.0292,Hilton Durban
300,Balrampur,IN,81.9,few clouds,27.4333,82.1833,Hotel Avadh
305,Pemangkat,ID,77.02,broken clouds,1.1667,108.9667,Ramah Kost KITA
306,Jaru,BR,84.65,broken clouds,-10.4389,-62.4664,Hotel Paraná
308,Reconquista,AR,76.14,moderate rain,-29.15,-59.65,Grand Hotel
311,Doha,QA,78.8,clear sky,25.2867,51.5333,Movenpick Hotel Doha
315,San Cristobal,VE,87.8,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
320,Mae Hong Son,TH,76.41,few clouds,19.3003,97.9685,Baiyoke Chalet Hotel
325,Pedernales,DO,81.5,clear sky,18.0384,-71.744,Hotel Costa Marina
