City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lebu,CL,-37.6167,-73.65,59.02,76,56,11.99,broken clouds
1,Nelson Bay,AU,-32.7167,152.15,60.01,77,11,6.91,few clouds
2,San Vicente,AR,-26.6167,-54.1333,76.1,59,100,1.05,moderate rain
3,Vaini,TO,-21.2,-175.2,75.2,88,20,5.75,few clouds
4,Kruisfontein,ZA,-34.0033,24.7314,64.99,84,100,1.99,overcast clouds
5,Rikitea,PF,-23.1203,-134.9692,77.94,74,74,7.94,light rain
6,Montepuez,MZ,-13.1256,38.9997,66.2,97,16,3.47,few clouds
7,Albany,US,42.6001,-73.9662,52.0,78,100,7.43,moderate rain
8,Ushuaia,AR,-54.8,-68.3,53.6,32,20,5.75,few clouds
9,Hasaki,JP,35.7333,140.8333,41.0,93,20,5.75,few clouds
10,Saint-Philippe,RE,-21.3585,55.7679,75.2,83,0,4.61,light rain
11,Baruun-Urt,MN,46.6806,113.2792,25.16,54,98,13.6,overcast clouds
12,Ribeira Grande,PT,38.5167,-28.7,64.4,82,75,6.91,broken clouds
13,Mastung,PK,29.7994,66.845,53.47,69,100,2.17,overcast clouds
14,Punta Arenas,CL,-53.15,-70.9167,53.6,62,75,14.97,broken clouds
15,Bredasdorp,ZA,-34.5322,20.0403,62.6,72,11,10.36,few clouds
16,Port Elizabeth,ZA,-33.918,25.5701,62.6,88,90,8.05,overcast clouds
17,Plettenberg Bay,ZA,-34.0527,23.3716,62.91,80,100,6.58,light rain
18,Thunder Bay,CA,48.4001,-89.3168,51.8,32,75,10.36,broken clouds
19,Mataura,NZ,-46.1927,168.8643,50.0,95,74,1.01,moderate rain
20,Baykit,RU,61.67,96.37,38.21,98,100,13.69,light rain
21,Torbay,CA,47.6666,-52.7314,34.0,100,90,16.11,light snow
22,Kyren,RU,51.6828,102.1408,23.05,68,24,1.74,few clouds
23,Thompson,CA,55.7435,-97.8558,42.8,26,75,3.44,broken clouds
24,Moose Factory,CA,51.2585,-80.6094,33.8,86,90,11.5,overcast clouds
25,Chuy,UY,-33.6971,-53.4616,69.03,87,100,4.56,overcast clouds
26,Lidkoping,SE,58.5052,13.1577,41.0,81,99,4.61,overcast clouds
27,Busselton,AU,-33.65,115.3333,55.99,94,56,8.68,broken clouds
28,Pisco,PE,-13.7,-76.2167,69.8,78,0,10.36,clear sky
29,Warri,NG,5.5167,5.75,79.9,88,76,5.75,broken clouds
30,Butaritari,KI,3.0707,172.7902,82.22,74,100,9.22,overcast clouds
31,Puerto Ayora,EC,-0.7393,-90.3518,80.01,89,75,8.05,light rain
32,Brazzaville,CG,-4.2658,15.2832,75.2,94,20,3.44,light rain
33,Honavar,IN,14.2833,74.45,81.97,78,50,3.71,scattered clouds
34,Castro,BR,-24.7911,-50.0119,67.93,69,83,6.22,broken clouds
35,Pevek,RU,69.7008,170.3133,18.99,77,100,23.02,overcast clouds
36,Provideniya,RU,64.3833,-173.3,14.0,79,75,6.71,broken clouds
37,Cape Town,ZA,-33.9258,18.4232,66.2,72,0,18.41,clear sky
38,Nioro,GM,13.35,-15.75,84.83,35,100,12.1,overcast clouds
39,Jamestown,US,42.097,-79.2353,44.01,60,90,17.27,overcast clouds
40,Mawlaik,MM,23.6333,94.4167,78.37,29,100,1.39,overcast clouds
41,Qasigiannguit,GL,68.8193,-51.1922,12.2,67,75,9.22,broken clouds
42,Lorengau,PG,-2.0226,147.2712,80.56,78,100,6.64,overcast clouds
43,Akyab,MM,20.15,92.9,80.96,79,100,4.54,overcast clouds
44,Taunggyi,MM,20.7833,97.0333,66.22,49,79,3.49,broken clouds
45,Asau,RO,46.4333,26.4,39.99,46,16,2.68,few clouds
46,Hailar,CN,49.2,119.7,28.58,84,100,16.98,snow
47,Port Macquarie,AU,-31.4333,152.9167,57.0,92,5,12.66,clear sky
48,Arraial Do Cabo,BR,-22.9661,-42.0278,80.6,65,20,11.5,few clouds
49,Hobart,AU,-42.8794,147.3294,44.6,65,40,5.75,scattered clouds
50,Yellowknife,CA,62.456,-114.3525,41.0,48,20,14.97,few clouds
51,Maudaha,IN,25.6833,80.1167,88.25,18,4,9.24,clear sky
52,Kaeo,NZ,-35.1,173.7833,55.0,96,11,1.99,few clouds
53,Gorontalo,ID,0.5412,123.0595,73.6,93,100,2.13,overcast clouds
54,Chapais,CA,49.7834,-74.8492,62.6,17,20,12.66,few clouds
55,Avarua,CK,-21.2078,-159.775,80.6,78,75,6.91,broken clouds
56,Severo-Kurilsk,RU,50.6789,156.125,28.63,67,35,17.52,scattered clouds
57,Lumby,CA,50.2498,-118.969,66.99,25,1,3.44,clear sky
58,Nanortalik,GL,60.1432,-45.2371,27.77,73,28,40.09,scattered clouds
59,Constitucion,CL,-35.3333,-72.4167,66.63,62,6,14.45,clear sky
60,Hokitika,NZ,-42.7167,170.9667,55.67,86,50,2.71,scattered clouds
61,Hilo,US,19.7297,-155.09,73.99,68,90,4.61,light rain
62,Bathsheba,BB,13.2167,-59.5167,84.2,61,75,17.27,broken clouds
63,Vaitape,PF,-16.5167,-151.75,82.2,74,20,14.12,few clouds
64,Tuktoyaktuk,CA,69.4541,-133.0374,19.4,93,90,17.27,light snow
65,Kholodnyy,RU,62.7167,147.95,-8.5,100,100,0.29,overcast clouds
66,Soavinandriana,MG,-19.1667,46.7333,59.63,95,100,3.22,moderate rain
67,North Bend,US,43.4065,-124.2243,72.0,58,1,9.22,clear sky
68,Port-Gentil,GA,-0.7193,8.7815,82.4,83,20,6.91,few clouds
69,Olinda,BR,-8.0089,-34.8553,75.2,88,75,5.75,broken clouds
70,Kodiak,US,57.79,-152.4072,37.4,87,90,8.05,moderate rain
