City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Acarau,BR,2021-04-13 19:23:27,-2.8856,-40.12,82.58,74,70,13.2
1,Semirom,IR,2021-04-13 19:23:28,31.4167,51.5667,48.47,68,7,3.04
2,Barrow,US,2021-04-13 19:23:28,71.2906,-156.7887,-0.4,71,1,8.05
3,Bredasdorp,ZA,2021-04-13 19:23:28,-34.5322,20.0403,64.4,88,22,3.6
4,Vanderhoof,CA,2021-04-13 19:23:29,54.0166,-124.0198,49.23,37,66,1.77
5,Cayenne,GF,2021-04-13 19:22:22,4.9333,-52.3333,86.0,70,40,12.66
6,Rafaela,AR,2021-04-13 19:23:29,-31.2503,-61.4867,79.0,38,0,3.0
7,Chokurdakh,RU,2021-04-13 19:23:29,70.6333,147.9167,-13.02,97,15,5.84
8,Sisimiut,GL,2021-04-13 19:23:30,66.9395,-53.6735,31.75,98,100,5.82
9,Lebu,CL,2021-04-13 19:23:30,-37.6167,-73.65,62.4,79,87,16.15
10,East London,ZA,2021-04-13 19:23:31,-33.0153,27.9116,71.6,94,0,6.91
11,Klaksvik,FO,2021-04-13 19:23:31,62.2266,-6.589,42.8,93,75,10.36
12,Prenzlau,DE,2021-04-13 19:23:31,53.3167,13.8667,39.0,72,95,1.01
13,Jamestown,US,2021-04-13 19:19:24,42.097,-79.2353,64.0,41,1,5.75
14,Hilo,US,2021-04-13 19:23:32,19.7297,-155.09,77.0,57,1,6.91
15,Lakes Entrance,AU,2021-04-13 19:23:32,-37.8811,147.981,66.99,43,100,5.01
16,Sault Sainte Marie,CA,2021-04-13 19:22:06,46.5168,-84.3333,50.0,62,90,12.66
17,Rikitea,PF,2021-04-13 19:23:32,-23.1203,-134.9692,78.51,64,51,9.84
18,Egvekinot,RU,2021-04-13 19:23:33,66.3167,-179.1667,6.1,83,100,13.53
19,Kalmunai,LK,2021-04-13 19:23:33,7.4167,81.8167,80.02,79,97,4.21
20,Puerto Ayora,EC,2021-04-13 19:23:33,-0.7393,-90.3518,82.4,74,75,13.8
21,Kozhva,RU,2021-04-13 19:23:33,65.1073,57.0459,40.6,96,100,7.63
22,Hami,CN,2021-04-13 19:23:34,42.8,93.45,52.43,21,0,4.74
23,Arraial Do Cabo,BR,2021-04-13 19:18:38,-22.9661,-42.0278,78.8,61,40,12.66
24,Okhotsk,RU,2021-04-13 19:23:34,59.3833,143.3,2.23,99,99,6.82
25,Mahebourg,MU,2021-04-13 19:23:35,-20.4081,57.7,78.8,83,75,5.75
26,Olafsvik,IS,2021-04-13 19:23:35,64.8945,-23.7142,41.74,86,14,9.8
27,Bambous Virieux,MU,2021-04-13 19:23:35,-20.3428,57.7575,79.0,83,75,5.75
28,Nanortalik,GL,2021-04-13 19:23:35,60.1432,-45.2371,38.44,69,0,5.19
29,Ostrovnoy,RU,2021-04-13 19:23:36,68.0531,39.5131,31.17,97,100,10.89
30,Quatre Cocos,MU,2021-04-13 19:23:36,-20.2078,57.7625,79.0,83,75,5.75
31,Kuala Selangor,MY,2021-04-13 19:23:36,3.35,101.25,77.0,94,20,5.55
32,Kuala Pilah,MY,2021-04-13 19:23:37,2.7389,102.2487,78.8,89,40,2.3
33,Busselton,AU,2021-04-13 19:23:37,-33.65,115.3333,58.59,71,100,2.62
34,Kanel,SN,2021-04-13 19:23:37,15.4916,-13.1763,111.2,13,0,4.61
35,Hobart,AU,2021-04-13 19:23:38,-42.8794,147.3294,59.0,67,90,14.97
36,Vaini,TO,2021-04-13 19:23:38,-21.2,-175.2,68.0,94,20,2.3
37,Mataura,NZ,2021-04-13 19:23:38,-46.1927,168.8643,51.01,96,100,5.99
38,Palmer,US,2021-04-13 19:23:38,42.1584,-72.3287,66.2,39,75,8.05
39,Houston,US,2021-04-13 19:22:34,29.7633,-95.3633,84.99,65,75,6.02
40,Sile,TR,2021-04-13 19:23:39,41.1754,29.6133,57.2,47,75,3.44
41,Punta Arenas,CL,2021-04-13 19:23:39,-53.15,-70.9167,50.0,76,90,9.22
42,Nouadhibou,MR,2021-04-13 19:23:40,20.931,-17.0347,75.2,57,100,11.5
43,San Luis,AR,2021-04-13 19:23:40,-33.295,-66.3356,76.03,27,0,3.09
44,Norman Wells,CA,2021-04-13 19:23:40,65.282,-126.8329,28.4,43,20,10.36
45,New Norfolk,AU,2021-04-13 19:23:41,-42.7826,147.0587,57.99,80,100,1.99
46,Narsaq,GL,2021-04-13 19:23:41,60.9167,-46.05,46.4,39,1,9.22
47,Hobyo,SO,2021-04-13 19:23:41,5.3505,48.5268,82.2,67,100,13.2
48,Port Blair,IN,2021-04-13 19:23:42,11.6667,92.75,82.45,72,100,3.8
49,Balvi,LV,2021-04-13 19:20:16,57.1313,27.2658,39.47,94,100,8.52
50,Leningradskiy,RU,2021-04-13 19:23:42,69.3833,178.4167,2.16,85,100,7.43
51,Mitchell,US,2021-04-13 19:23:28,43.7094,-98.0298,39.2,41,90,26.46
52,Albany,US,2021-04-13 19:23:43,42.6001,-73.9662,64.99,39,99,1.99
53,Sitka,US,2021-04-13 19:23:43,57.0531,-135.33,42.8,75,75,13.8
54,Champerico,GT,2021-04-13 19:23:43,14.3,-91.9167,95.0,49,20,4.61
55,Saskylakh,RU,2021-04-13 19:23:44,71.9167,114.0833,5.61,99,97,4.36
56,Bonthe,SL,2021-04-13 19:23:44,7.5264,-12.505,83.01,77,100,10.04
57,Katherine,AU,2021-04-13 19:23:44,-14.4667,132.2667,62.6,82,50,8.05
58,Sept-Iles,CA,2021-04-13 19:23:45,50.2001,-66.3821,44.01,65,7,6.91
59,Clyde River,CA,2021-04-13 19:23:45,70.4692,-68.5914,5.0,85,75,14.97
60,Barra Do Garcas,BR,2021-04-13 19:21:27,-15.89,-52.2567,93.2,38,20,2.3
61,Kedainiai,LT,2021-04-13 19:23:45,55.2883,23.9747,37.4,87,90,6.91
62,Ushuaia,AR,2021-04-13 19:19:22,-54.8,-68.3,48.2,57,90,4.61
63,Fortuna,US,2021-04-13 19:23:46,40.5982,-124.1573,61.0,67,1,13.8
64,Faanui,PF,2021-04-13 19:23:46,-16.4833,-151.75,80.76,73,99,10.94
65,Upernavik,GL,2021-04-13 19:23:46,72.7868,-56.1549,9.72,91,100,10.29
66,Hermanus,ZA,2021-04-13 19:23:47,-34.4187,19.2345,67.59,71,8,5.35
67,Anqing,CN,2021-04-13 19:23:47,30.5092,117.0506,58.21,90,100,9.48
68,Cape Town,ZA,2021-04-13 19:21:43,-33.9258,18.4232,66.99,94,75,12.66
69,Christchurch,NZ,2021-04-13 19:23:48,-43.5333,172.6333,51.01,93,90,2.3
70,Yellowknife,CA,2021-04-13 19:23:48,62.456,-114.3525,35.01,69,75,13.8
